what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428827123264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827124344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827125472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428827134260
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1428827135238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827139461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827146099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1428827158611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1428827159714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1428827160357
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1428827165543
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1428827166193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827168516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827171638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827172199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827183186
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1428827198035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827204652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827215259
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1428827230025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428827232665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827234809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428827251053
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1428827254195
